epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.279,1.65749,3.45078,1.43151,0.00333,1,0.17808,0.07304,1.17936,3.41031,1.0921,0.00028,0.00028,0.00028
2,172.243,1.14951,1.62032,1.04715,0.00333,1,0.01102,0.00782,1.01087,3.24485,1.05588,0.000568516,0.000568516,0.000568516
3,263.369,1.15691,1.30342,1.06468,0.0094,0.95652,0.74109,0.54809,1.11711,3.03161,1.1239,0.000845152,0.000845152,0.000845152
4,350.606,1.10114,1.21645,1.04204,1,0.75624,0.98361,0.66347,1.15896,2.32283,1.11528,0.00110991,0.00110991,0.00110991
5,437.072,1.11763,1.25562,1.05265,1,0.9501,0.99321,0.67016,1.26268,1.89729,1.13303,0.00136278,0.00136278,0.00136278
6,522.489,1.13697,1.15376,1.07046,0.99378,1,0.995,0.64926,1.27418,1.25195,1.12075,0.00160378,0.00160378,0.00160378
7,603.588,1.08045,1.03317,1.03115,0.99881,1,0.995,0.74919,1.06184,0.93833,1.04066,0.0017624,0.0017624,0.0017624
8,684.267,1.10074,0.99297,1.04223,0.99503,1,0.995,0.71699,1.03294,1.13356,1.02116,0.0017228,0.0017228,0.0017228
9,764.934,1.0557,0.91084,1.03477,1,0.99997,0.995,0.72886,1.01443,0.83666,1.02324,0.0016832,0.0016832,0.0016832
10,854.955,1.00737,0.83128,1.00695,0.99905,1,0.995,0.66888,1.15665,0.76731,1.08302,0.0016436,0.0016436,0.0016436
11,945.382,1.07908,0.85449,1.03029,0.99801,1,0.995,0.6564,1.19178,0.89482,1.09449,0.001604,0.001604,0.001604
12,1033.88,0.99479,0.77515,1.01984,0.99859,1,0.995,0.73933,1.0115,0.72655,1.02641,0.0015644,0.0015644,0.0015644
13,1116.9,0.99592,0.76067,0.99596,0.99903,1,0.995,0.7052,1.03483,0.6866,1.03861,0.0015248,0.0015248,0.0015248
14,1198.04,0.99804,0.75563,1.04536,0.99871,1,0.995,0.71895,0.99307,0.7099,1.02332,0.0014852,0.0014852,0.0014852
15,1279.01,1.05097,0.70407,1.04224,0.9986,1,0.995,0.71919,1.07356,0.66197,1.07154,0.0014456,0.0014456,0.0014456
16,1358.27,1.01264,0.68025,1.01686,0.99778,1,0.995,0.72771,1.04188,0.63255,1.02864,0.001406,0.001406,0.001406
17,1437.64,0.95622,0.65696,0.99924,0.99872,1,0.995,0.75797,0.98894,0.54243,1.00966,0.0013664,0.0013664,0.0013664
18,1518.66,0.89887,0.62653,0.98908,0.99894,1,0.995,0.71243,1.10583,0.58193,1.0462,0.0013268,0.0013268,0.0013268
19,1598.41,0.91094,0.60117,0.98018,0.99913,1,0.995,0.68925,1.13393,0.63697,1.06737,0.0012872,0.0012872,0.0012872
20,1677.81,0.94752,0.60962,0.98932,0.99903,1,0.995,0.67322,1.06629,0.5818,1.04445,0.0012476,0.0012476,0.0012476
21,1757.73,0.89151,0.57116,0.97093,0.99885,1,0.995,0.72009,0.97196,0.54691,1.01335,0.001208,0.001208,0.001208
22,1837.15,0.96366,0.58546,1.01252,0.99837,1,0.995,0.65931,1.10217,0.60018,1.11521,0.0011684,0.0011684,0.0011684
23,1916.78,0.94539,0.55736,0.9928,0.999,1,0.995,0.72147,1.02622,0.54546,1.02659,0.0011288,0.0011288,0.0011288
24,1996.23,0.92297,0.54386,0.96774,0.99874,1,0.995,0.73044,1.01068,0.5365,1.01077,0.0010892,0.0010892,0.0010892
25,2075.53,0.96203,0.55393,0.97827,0.99854,1,0.995,0.68574,1.09322,0.51185,1.04902,0.0010496,0.0010496,0.0010496
26,2155.33,0.88788,0.5228,0.97679,0.98436,1,0.99486,0.72344,1.06373,0.51929,1.04591,0.00101,0.00101,0.00101
27,2235,0.88427,0.5217,0.99269,0.99705,1,0.995,0.73849,0.99467,0.48842,1.01164,0.0009704,0.0009704,0.0009704
28,2314.49,0.8256,0.4957,0.93744,0.99646,1,0.995,0.71929,1.02669,0.5353,1.02393,0.0009308,0.0009308,0.0009308
29,2394.02,0.84374,0.48703,0.95427,0.9981,1,0.995,0.72527,0.95645,0.4686,0.99589,0.0008912,0.0008912,0.0008912
